"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.036048000E0,2.803553964E0,-6.231177746E0,-3.436320931E-2,6.832910929E0
3.046097000E0,1.825990723E0,-5.516335752E0,-4.898469830E-1,5.831307942E0
3.056147000E0,1.014520567E0,-4.172093618E0,-1.390239841E0,4.513134604E0
3.066196000E0,-4.827192271E-1,-2.558772560E0,-2.911135715E0,3.905770861E0
3.076246000E0,-2.167395612E0,-1.869608613E0,-3.692873365E0,4.672296415E0
3.086296000E0,-3.351618749E0,-2.178093093E0,-2.956682602E0,4.971861801E0
3.096345000E0,-4.011921132E0,-3.094484518E0,-7.062366468E-1,5.115673543E0
3.106395000E0,-4.252499265E0,-4.238841923E0,1.492906423E0,6.187107599E0
3.116444000E0,-4.238898934E0,-5.243779489E0,2.768748997E0,7.289132905E0
3.126494000E0,-4.050750152E0,-5.892029883E0,3.334826131E0,7.889591767E0
3.136543000E0,-3.567566364E0,-6.328042721E0,3.054124696E0,7.880312944E0
3.146593000E0,-2.822146063E0,-6.651031219E0,1.953692744E0,7.484493304E0
3.156642000E0,-1.738850546E0,-6.418510841E0,7.472506253E-1,6.691731176E0
3.166692000E0,-1.264424132E0,-5.581404153E0,1.085402416E0,5.824855286E0
3.176741000E0,-1.372142124E0,-5.228988957E0,2.811430163E0,6.093376657E0
3.186791000E0,-1.256534045E0,-4.879972163E0,2.399083200E0,5.581093649E0
3.196840000E0,-1.244624729E0,-4.010521016E0,4.912840824E-1,4.227851651E0
