"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.295013958E0,-1.132798162E1,2.347266023E1,8.221607376E0,2.732917440E1
2.305063958E0,-9.617530126E0,2.127733247E1,1.098418639E1,2.580453668E1
2.315114958E0,-7.567453049E0,1.761684449E1,1.446927427E1,2.402039661E1
2.325165958E0,-6.637858611E0,1.457358509E1,1.548942044E1,2.227942313E1
2.335216958E0,-6.700067723E0,1.275409179E1,1.361795943E1,1.982439366E1
2.345267958E0,-6.353240712E0,1.062007793E1,1.110341463E1,1.662635075E1
2.355317958E0,-5.348655733E0,7.962493277E0,8.560043049E0,1.285627296E1
2.365368958E0,-3.889453247E0,4.503446558E0,6.926033957E0,9.131200569E0
2.375419958E0,-1.377663065E0,-2.926006939E0,3.901875656E0,5.067948871E0
2.385470958E0,8.824457795E-1,-1.568771941E1,-9.863097396E0,1.855165602E1
2.395520958E0,3.377848774E0,-2.716841627E1,-3.208394126E1,4.217715011E1
2.405571958E0,4.558787823E0,-2.430193574E1,-3.468374899E1,4.259494185E1
2.415622958E0,5.036957624E0,-1.205913384E1,-2.282602366E1,2.630249052E1
2.425673958E0,3.811077753E0,9.590883780E-1,2.633629199E0,4.730768110E0
2.435724958E0,-2.183189819E0,9.472606301E0,3.106846467E1,3.255374149E1
2.445774958E0,-6.334964070E0,9.169701819E0,3.899127582E1,4.055286415E1
2.455825958E0,-5.094458558E0,-1.403164526E0,3.209939896E1,3.253142776E1
2.465876958E0,-4.026668102E0,-9.714072334E0,1.554528708E1,1.876787702E1
2.475927958E0,-4.367676550E0,-8.329852202E0,6.339902043E0,1.134272428E1
2.485977958E0,-5.746968648E0,2.355328631E-1,1.815312538E0,6.031457866E0
2.496028958E0,-8.023015468E0,6.883281455E0,-2.200383410E0,1.079768623E1
2.506079958E0,-9.283267027E0,1.056106783E1,-3.996596457E0,1.461807045E1
2.516130958E0,-9.381059369E0,9.378774862E0,-2.443411088E0,1.348836352E1
2.526181958E0,-1.239794724E1,3.383722302E0,3.338261955E0,1.327790139E1
2.536231958E0,-1.738258398E1,-1.141094893E1,1.741752928E1,2.712442272E1
2.546282958E0,-1.997098731E1,-3.233540194E1,2.524926654E1,4.562832468E1
2.556333958E0,-1.179669209E1,-4.510931813E1,9.121261146E0,4.751010346E1
2.566384958E0,4.227807058E0,-4.088600524E1,-2.219494303E1,4.671354486E1
2.576434958E0,1.235078009E1,-3.198934968E1,-2.565097961E1,4.282327658E1
2.586485958E0,1.290672751E1,-2.386458272E1,-1.023968849E1,2.899919212E1
2.596536958E0,1.255398136E1,-1.597866166E1,-1.516523327E0,2.037694578E1
2.606587958E0,1.367592405E1,-7.302080675E0,-4.390057352E0,1.611284843E1
2.616637958E0,1.345555536E1,-5.707525671E-2,-1.519004300E1,2.029267439E1
2.626685625E0,9.555073092E0,4.077944090E0,-1.934702858E1,2.195988536E1
2.636736625E0,1.401384634E0,4.680323077E0,-1.705745306E1,1.774333700E1
2.646787625E0,-3.332041102E0,4.531644171E0,-2.027992144E1,2.104551045E1
2.656838625E0,-6.871641988E-1,1.959426523E0,-1.808636070E1,1.820516384E1
2.666888625E0,5.546614974E0,2.874099451E-1,-9.546846060E0,1.104489981E1
2.676939625E0,8.396377729E0,1.113967087E0,-2.423784909E0,8.809927066E0
2.686990625E0,8.629166493E0,3.006973334E0,3.111541430E0,9.653294416E0
2.697041625E0,8.212117930E0,6.494707078E0,2.942439369E0,1.087557127E1
2.707092625E0,7.784808673E0,1.079353676E1,-3.748484479E0,1.382587493E1
2.717142625E0,6.859845815E0,1.325381355E1,-6.720131859E0,1.636707764E1
2.727193625E0,5.874076592E0,1.387765065E1,-4.737216778E0,1.579668276E1
2.737244625E0,5.177650988E0,1.492170609E1,-5.318677644E0,1.666594475E1
2.747295625E0,3.395229330E0,1.560583968E1,-5.605199397E0,1.692595860E1
2.757345625E0,1.239142526E0,1.354600827E1,-4.189977912E0,1.423326137E1
2.767396625E0,2.071684586E-1,9.015249957E0,-4.531241882E0,1.009206637E1
2.777447625E0,2.912995130E-1,6.048657494E0,-4.845294373E0,7.755513552E0
2.787498625E0,6.205692364E-1,3.598211036E0,-4.863326309E0,6.081461307E0
2.797549625E0,3.778551154E-1,5.983882624E-1,-3.806713976E0,3.871939345E0
2.807599625E0,-4.391615635E-1,-1.373913245E0,-2.989470863E-1,1.473047808E0
2.817650625E0,-3.556286792E-1,-3.271107852E0,2.469471543E0,4.113989310E0
2.827701625E0,-3.691972893E-1,-1.240049312E1,2.654055862E0,1.268670756E1
2.837752625E0,8.356785062E-1,-2.625972387E1,-3.736412902E0,2.653737436E1
2.847802625E0,4.445027611E0,-4.162007405E1,-1.253800092E1,4.369428225E1
2.857853625E0,1.233541361E1,-5.264469511E1,-1.160637341E1,5.530220841E1
2.867904625E0,1.697636738E1,-4.961922878E1,-6.229858614E0,5.281170375E1
2.877955625E0,1.164216538E1,-3.985034173E1,3.228241037E0,4.164146120E1
2.888005625E0,2.554828905E0,-2.936071751E1,7.918164951E0,3.051681864E1
2.898056625E0,-1.103409062E0,-1.779854905E1,7.758488016E0,1.944736477E1
2.908107625E0,-1.800981890E0,-7.277908870E0,6.521218354E0,9.936688689E0
2.918158625E0,-1.749260636E0,-1.831968917E0,3.571113870E0,4.378227627E0
2.928209625E0,-1.472255226E0,2.346066642E0,3.442375723E0,4.418315828E0
2.938259625E0,-2.385340928E0,4.605864049E0,5.734264988E0,7.732116782E0
2.948310625E0,-2.212158971E0,6.043901954E0,9.502272735E0,1.147674106E1
